artifact_family,artifact_type,artifact_subtype,application_domain,application_subdomain,venue_id,venue_display_name,venue_full_name,venue_kind,parent_venue_id,year,type,entry_kind,name,title,link,authors,code,bib_key
Textual Artifacts,Creative Writing,Narratives,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,MAGNET,From Personas to Plot: Character-Grounded Multi-Agent Story Generation for Long-Form Narratives,https://arxiv.org/abs/2607.00918,"Aayush Aluru, Chloe Ho, Muhammad Hammouri, Kerry Luo, Myra Malik, Ryan Lagasse, Arjun Bahuguna, Vasu Sharma",,Text_PersonasToPlot2026
Textual Artifacts,Creative Writing,Performative Texts,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,Multi-Agent Comedy Club,Multi-Agent Comedy Club: Investigating Community Discussion Effects on LLM Creative Writing,https://arxiv.org/abs/2602.14770,"Shiwei Hong, Lingyao Li, Ethan Z. Rong, Chenxinran Shen, Zhicong Lu",,Text_ComedyClub2026
Textual Artifacts,Creative Writing,Performative Texts,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,OpenMic,OpenMic: A Multi-Agent-Based Stand-Up Comedy Generation System,https://arxiv.org/abs/2601.08288,"Yuyang Wu, Hanzhong Cao, Jianhao Chen, Yufei Li",,Text_OpenMic2026
Textual Artifacts,Creative Writing,Narratives,Creative Production,,tochi,ACM TOCHI,ACM Transactions on Computer-Human Interaction,journal,,2026,published,system,Constella,Constella: Supporting Storywriters’ Interconnected Character Creation through LLM-Based Multi-Agents,https://doi.org/10.1145/3796234,"Syemin Park, Soobin Park, Youn-kyung Lim",,Text_Constella2025
Textual Artifacts,Creative Writing,Narratives,Creative Production,,acl,ACL,Annual Meeting of the Association for Computational Linguistics,conference,,2025,published,system,BookWorld,BOOKWORLD: From Novels to Interactive Agent Societies for Story Creation,https://aclanthology.org/2025.acl-long.773/,"Yiting Ran, Xintao Wang, Tian Qiu, Jiaqing Liang, Yanghua Xiao, Deqing Yang",,Text_BookWorld2025
Textual Artifacts,Creative Writing,Narratives,Creative Production,,arxiv,arXiv,arXiv,preprint_server,,2025,preprint,system,CreAgentive,CreAgentive: An Agent Workflow Driven Multi-Category Creative Generation Engine,https://arxiv.org/abs/2509.26461,"Yuyang Cheng, Linyue Cai, Changwei Peng, Yumiao Xu, Rongfang Bie, Yong Zhao",,Text_CreAgentive2025
Textual Artifacts,Creative Writing,Narratives,Creative Production,,aaai,AAAI,AAAI Conference on Artificial Intelligence,conference,,2026,published,system,StoryBox,StoryBox: Collaborative Multi-Agent Simulation for Hybrid Bottom-Up Long-Form Story Generation Using Large Language Models,https://ojs.aaai.org/index.php/AAAI/article/view/40288,"Zehao Chen, Rong Pan, Haoran Li",,Text_StoryBox2025
Textual Artifacts,Creative Writing,Narratives,Creative Production,,cikm,CIKM,ACM International Conference on Information and Knowledge Management,conference,,2025,published,system,StoryWriter,StoryWriter: A Multi-Agent Framework for Long Story Generation,https://doi.org/10.1145/3746252.3761616,"Haotian Xia, Hao Peng, Yunjia Qi, Bin Xu, Juanzi Li, Hou Lei, Xiaozhi Wang",,Text_StoryWriter2025
Textual Artifacts,Creative Writing,Narratives,Creative Production,,fdg,FDG,ACM International Conference on the Foundations of Digital Games,conference,,2024,published,system,StoryVerse,StoryVerse: Towards Co-authoring Dynamic Plot with LLM-based Character Simulation via Narrative Planning,https://doi.org/10.1145/3649921.3656987,"Yi Wang, Qian Zhou, David Ledo",,Text_StoryVerse2024
Textual Artifacts,Professional Documents,Functional Documents,Engineering Design,,acl,ACL,Annual Meeting of the Association for Computational Linguistics,conference,,2025,published,system,DocAgent,DocAgent: A Multi-Agent System for Automated Code Documentation Generation,https://aclanthology.org/2025.acl-demo.44/,"Dayu Yang, Antoine Simoulin, Xin Qian, Xiaoyi Liu, Yuwei Cao, Zhaopu Teng, Grey Yang",,Code_DocAgent2025
Textual Artifacts,Professional Documents,Functional Documents,,,arxiv,arXiv,arXiv,preprint_server,,2025,preprint,system,AgentCTG,AgentCTG: Harnessing Multi-Agent Collaboration for Fine-Grained Precise Control in Text Generation,https://arxiv.org/abs/2509.13677,"Xinxu Zhou, Jiaqi Bai, Zhenqi Sun, Fanxiang Zeng, Yue Liu",,Text_AgentCTG2025
Textual Artifacts,Professional Documents,Functional Documents,Educational Support,,ieee_tlt,IEEE TLT,IEEE Transactions on Learning Technologies,journal,,2025,published,system,EduPlanner,EduPlanner: LLM-Based Multiagent Systems for Customized and Intelligent Instructional Design,https://doi.org/10.1109/TLT.2025.3561332,"Xueqiao Zhang, Chao Zhang, Jianwen Sun, Jun Xiao, Yi Yang, Yawei Luo",,Text_EduPlanner2025
Textual Artifacts,Professional Documents,Functional Documents,Brand Communication,,emnlp_industry,EMNLP Industry Track,EMNLP Industry Track,track,emnlp,2025,published,system,MADS,MADS: Multi-Agent Dialogue Simulation for Diverse Persuasion Data Generation,https://aclanthology.org/2025.emnlp-industry.26/,"Mingjin Li, Yu Liu, Huayi Liu, Xiang Ye, Chao Jiang, Hongguang Zhang, Yu Ruan",,Text_MADS2025
Textual Artifacts,Professional Documents,Functional Documents,Professional Work,,arxiv,arXiv,arXiv,preprint_server,,2025,preprint,system,PAME-AI,PAME-AI: Patient Messaging Creation and Optimization using Agentic AI,https://arxiv.org/abs/2509.24263,"Junjie Luo, Yihong Guo, Anqi Liu, Ritu Agarwal, Gordon Gao",,Data_PAMEAI2025
Textual Artifacts,Professional Documents,Functional Documents,,,github,GitHub,GitHub,repository,,2024,project,system,Translation Agent,Translation Agent: Agentic Translation Using Reflection Workflow,https://github.com/andrewyng/translation-agent,"Andrew Ng, Joaquin Dominguez, Nedelina Teneva, John Santerre",,Text_TranslationAgent2024
Textual Artifacts,Professional Documents,Informational Reports,Scientific Research,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,DIAGPaper,DIAGPaper: Diagnosing Valid and Specific Weaknesses in Scientific Papers via Multi-Agent Reasoning,https://arxiv.org/abs/2601.07611,"Zhuoyang Zou, Abolfazl Ansari, Delvin Ce Zhang, Dongwon Lee, Wenpeng Yin",,Text_DIAGPaper2026
Textual Artifacts,Professional Documents,Informational Reports,Professional Work,,arxiv,arXiv,arXiv,preprint_server,,2026,preprint,system,N/A,Towards Trustworthy Report Generation: A Deep Research Agent with Progressive Verification,https://arxiv.org/abs/2604.05952,"Yi Yuan, Xuhong Wang, Shanzhe Lei",,Report_DeepResearchAgent2026
Textual Artifacts,Scholarly Manuscripts,,Scientific Research,,webconf_companion,The Web Conference Companion,Companion Proceedings of the ACM Web Conference,track,the_web_conference,2026,published,system,PaperDebugger,"PaperDebugger: A Plugin-Based Multi-Agent System for In-Editor Academic Writing, Review, and Editing",https://doi.org/10.1145/3774905.3793122,"Junyi Hou, Andre Lin Huikai, Nuo Chen, Yiwei Gong, Bingsheng He",,Text_PaperDebugger2025
Textual Artifacts,Professional Documents,Informational Reports,Professional Work,,coling,COLING,International Conference on Computational Linguistics,conference,,2025,published,system,AI-Press,AI-Press: A Multi-Agent News Generating and Feedback Simulation System Powered by Large Language Models,https://aclanthology.org/2025.coling-demos.8/,"Xiawei Liu, Shiyue Yang, Xinnong Zhang, Haoyu Kuang, Libo Sun, Yihang Yang, Siming Chen, Xuanjing Huang, Zhongyu Wei",,Text_AIPress2024
Textual Artifacts,Professional Documents,Informational Reports,Scientific Research,,arxiv,arXiv,arXiv,preprint_server,,2024,preprint,system,MARG,MARG: Multi-Agent Review Generation for Scientific Papers,https://arxiv.org/abs/2401.04259,"Mike D'Arcy, Tom Hope, Larry Birnbaum, Doug Downey",,Text_MARG2024
Textual Artifacts,Scholarly Manuscripts,,Scientific Research,,naacl,NAACL,Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics,conference,,2025,published,system,ResearchAgent,ResearchAgent: Iterative Research Idea Generation over Scientific Literature with Large Language Models,https://aclanthology.org/2025.naacl-long.342/,"Jinheon Baek, Sujay Kumar Jauhar, Silviu Cucerzan, Sung Ju Hwang",,Text_ResearchAgent2024
