bib_key,artifact_view,application_view
Text_PersonasToPlot2026,true,true
Text_ComedyClub2026,true,true
Text_OpenMic2026,true,true
Text_Constella2025,true,true
Text_BookWorld2025,true,true
Text_CreAgentive2025,true,true
Text_StoryBox2025,true,true
Text_AgentCTG2025,true,false
Text_MADS2025,true,true
Data_PAMEAI2025,true,true
Text_DIAGPaper2026,true,true
Report_DeepResearchAgent2026,true,true
Text_PaperDebugger2025,true,true
Text_MARG2024,true,true
Text_ResearchAgent2024,true,true
Text_AIScientist2024,true,true
Text_STORM2024,true,true
DataVis_MultiVisAgent2026,true,true
DataViz_PlotGen2025,true,true
DataViz_A2PVis2025,true,true
DataViz_CoDA2025,true,true
Data_DataWink2025,true,true
Diagram_EvoDiagram2026,true,false
Diagram_GenAIDrawIOCreator2026,true,false
Image_PaperBanana2026,true,true
Hardware_PCBSchemaGen2026,true,true
Diagram_SAGEGraphEditing2026,true,true
Diagram_SciFig2026,true,true
Diagram_SciFlowBench2026,true,true
Image_AutoFigure2026,true,true
Image_PixelsToPaths2025,true,true
Diagram_Text2Diagram2024,true,false
Diagram_SketchAgent2025,true,false
Image_AgentBanana2026,true,true
Image_AgenticRetoucher2026,true,true
Image_CAMEO2026,true,false
Image_CanvasAgent2026,true,true
Image_GraphicBench2025,true,true
Image_MirrorAd2025,true,true
Image_SketchAgent2025,true,true
Marketing_BannerAgency2025,true,true
Image_T2ICopilot2025,true,true
Poster_AutoPP2026,true,true
Poster_PosterForest2025,true,true
Poster_P2P2025,true,true
Poster_Paper2Poster2025,true,true
Slide_DECKBench2026,true,true
Slide_ArcDeck2026,true,true
Slide_SlidesGenBench2026,true,false
Slide_SlideBot2026,true,true
Slide_AutoSlides2025,true,true
Slide_PPTAgent2025,true,false
Slide_SlideGen2025,true,true
Music_Libretto2026,true,true
Music_CoComposer2025,true,true
Music_MusicSwarm2025,true,true
Music_WeaveMuse2025,true,true
Audio_AudioRAGPlus2026,true,true
Audio_LVASAgent2025,true,true
Audio_WavCraft2024,true,true
Video_BeyondE2E2026,true,true
Animation_ManimAgent2026,true,true
Video_Code2Video2025,true,true
Video_Paper2Video2025,true,true
Video_EventGraphs2026,true,true
Video_MUSE2026,true,true
Video_HAMLET2026,true,true
Video_LongVideo2025,true,true
Video_GenMAC2024,true,true
Video_BrandFusion2026,true,true
Video_AutoMV2025,true,true
Video_PersonaVlog2025,true,true
Video_GLANCE2026,true,true
Video_StoryBlender2026,true,true
Video_VideoMemory2026,true,true
Video_FantasyHSI2025,true,true
Video_ShotsStories2025,true,true
Video_UniVA2025,true,true
Video_VideoAgentSci2025,true,true
Video_VISTA2025,true,true
D3_EditDuet2025,true,true
Video_AnimAgents2025,false,true
Video_AniMaker2025,true,true
Video_AniME2025,true,true
Animation_MapStory2025,true,true
Animation_CoMA2024,true,true
